patient,delays,ridge_lambda,lifted_dimension,selected_rank,intrinsic_order,spectral_radius,slow_modes,controllability_rank,rmse_2h
adolescent_001,3,0.0001,,,,,,,
adolescent_001,3,0.0005,,,,,,,
adolescent_001,3,0.001,,,,,,,
adolescent_001,3,0.005,,,,,,,
adolescent_001,3,0.01,,,,,,,
adolescent_001,4,0.0001,,,,,,,
adolescent_001,4,0.0005,,,,,,,
adolescent_001,4,0.001,,,,,,,
adolescent_001,4,0.005,,,,,,,
adolescent_001,4,0.01,,,,,,,
adolescent_001,5,0.0001,,,,,,,
adolescent_001,5,0.0005,,,,,,,
adolescent_001,5,0.001,,,,,,,
adolescent_001,5,0.005,,,,,,,
adolescent_001,5,0.01,,,,,,,
adolescent_001,6,0.0001,,,,,,,
adolescent_001,6,0.0005,,,,,,,
adolescent_001,6,0.001,,,,,,,
adolescent_001,6,0.005,,,,,,,
adolescent_001,6,0.01,,,,,,,
