patient,delays,ridge_lambda,lifted_dimension,selected_rank,intrinsic_order,spectral_radius,slow_modes,controllability_rank,rmse_2h
adolescent_001,3,0.0001,18,15,2,0.9974419297706764,2,15,16.40647279241794
adolescent_001,3,0.0005,18,15,2,0.9974419297706764,2,15,16.40647279241794
adolescent_001,3,0.001,18,15,2,0.9974419297706764,2,15,16.40647279241794
adolescent_001,3,0.005,18,15,2,0.9974419297706764,2,15,16.40647279241794
adolescent_001,3,0.01,18,15,2,0.9974419297706764,2,15,16.40647279241794
adolescent_001,4,0.0001,24,21,2,0.9973770530542355,3,21,17.372952452668905
adolescent_001,4,0.0005,24,21,2,0.9973770530542355,3,21,17.372952452668905
adolescent_001,4,0.001,24,21,2,0.9973770530542355,3,21,17.372952452668905
adolescent_001,4,0.005,24,21,2,0.9973770530542355,3,21,17.372952452668905
adolescent_001,4,0.01,24,21,2,0.9973770530542355,3,21,17.372952452668905
adolescent_001,5,0.0001,30,30,2,0.9905991728560758,4,30,7.462873209467013
adolescent_001,5,0.0005,30,30,2,0.9905991728560758,4,30,7.462873209467013
adolescent_001,5,0.001,30,30,2,0.9905991728560758,4,30,7.462873209467013
adolescent_001,5,0.005,30,30,2,0.9905991728560758,4,30,7.462873209467013
adolescent_001,5,0.01,30,30,2,0.9905991728560758,4,30,7.462873209467013
adolescent_001,6,0.0001,36,36,2,0.9883206140685524,3,36,4.981533701672741
adolescent_001,6,0.0005,36,36,2,0.9883206140685524,3,36,4.981533701672741
adolescent_001,6,0.001,36,36,2,0.9883206140685524,3,36,4.981533701672741
adolescent_001,6,0.005,36,36,2,0.9883206140685524,3,36,4.981533701672741
adolescent_001,6,0.01,36,36,2,0.9883206140685524,3,36,4.981533701672741
